Priority,Weight,Category,Vraag,Tag
1,10,RecPot,"Het maakt me blij, als ik  anderen kan helpen.",love_helping
1,10,RecPot,Ik hou ervan anderen de weg te wijzen,love_helping
1,10,RecPot,Ik deel graag mijn kennis met anderen.,share knowledge
1,10,RecPot,Het welzijn van anderen is belangrijk voor mij.,sympathise
1,10,RecPot,Interactie met anderen is belangrijk voor mij.,interact
2,9,RecPot,Ik maak graag deel uit van een team.,team player
2,9,RecPot,Het is belangrijk voor mij om het gevoel te hebben dat ik deel uitmaak van een gemeenschap.,team player
2,9,RecPot,Ik geniet van groepsactiviteiten.,teamplayer
1,10,RecPot,Ik ben graag op stap. Onder de mensen.,meet people
1,10,RecPot,Groepswerk spreekt me wel aan.,teamwork
1,10,RecPot,Ik ken veel mensen en heb veel vrienden.,lots of friends
1,10,RecPot,Ik verkies harmonie in alles wat ik doe,harmony
1,10,RecPot, Tact en warmte zijnbelangrijk in al mijn relaties,tactfull
1,10,RecPot,Waarden zijn belangrijk voor mij. ,values
1,10,RecPot,Ik kijk eerst naar wat belangrijk is voor de anderen.,giving
1,10,RecPot,Ik beslis met mijn hart en met het nodige medeleven ,empathy
1,10,RecPot,Tact is belangrijker dan koudweg de waarheid te vertellen.,tactfull
1,10,RecPot,Soms sluit ik mijn ogen voor de harde kanten aan de feiten,dont_love_facts
1,10,RecPot,Anderen vinden we soms veel te idealistisch en te naief.,naïve
1,10,RecPot,"Ik deel graag mijn ervaringen met vrienden, buren en familie",share knowledge
1,10,RecPot,Ik deel graag mijn ervaringen tijdens echte gesprekken,share knowledge
1,10,RecPot,Ik deel graag mijn ervaringen op sociale media,share_experience_socmed
1,10,RecPot,Ik neem graag deel aan discussies. Ik zit niet alleen te luisteren,love_discussion
1,10,RecPot,Ik toon graag wie ik ben,sincere
1,10,RecPot,Ik doe redelijk wat vrijwilligerswerk,love_helping
1,10,RecPot,"Ik wil blijven leren, en volg daar ook graag lessen voor.",learner
1,10,RecPot,Ik val niet graag de mensen lastig met alles wat ik weet.,love-notbothering_people
1,10,RecPot,Ik gebruik regelmatig sociale media.,usealot_socialmedia
5,8,RecPot,Ik ben ongelooflijk nieuwsgierig,am_nosy
1,10,RecPot,Ik ben wel een groepjesmaker.,love_communities
3,6,RecPot,Mijn partner beinvloedt me enorm als ik wat nieuws moet kopen,influencedby_partner
3,6,RecPot,Sommige collega's beinvloeden me enorm als ik wat nieuws moet kopen,influencedby_colleauges
3,6,RecPot,De buren beinvloeden me enorm als ik wat nieuws moet kopen,influencedby_neigbours
3,6,RecPot,Vrienden op sociale netwerken beinvloeden me enorm als ik wat nieuws moet kopen,influencedby_socmed_friends
3,6,RecPot,Online reviews beinvloeden me enorm als ik wat nieuws moet kopen,influencedby_onlinereviews
4,6,RecPot,Reclamespotjes zap ik weg,zap_tvcommercials
4,6,RecPot,Reclamespotjes spoek ik altijd door.,ff_tvcommercials
4,6,RecPot,Ik hou van reclamespotjes,love_tvcommercials
4,6,RecPot,Reclame op TV is een ideale plaspauze,pipi_tvcommercials
1,10,RecPot,Ik ben zeer goed in het beïnvloeden van mensen,influencing_goodatit
1,10,RecPot,Ik ben zeer slecht in het beïnvloeden van mensen,influencing_notgoodatit
1,10,RecPot,Ik wil helemaal niemand beïnvloeden. Waarom zou ik,influencing_don'twant
1,10,RecPot,Af en toe slaag ik er in iemand te beïnvloeden.,influencing_sometimes
2,10,RecPot,Als ik in de spiegel kijk vind ik mezelf gewoon.,am_normal
2,10,RecPot,Als ik in de spiegel kijk vind ik mezelf  doodgewoon,am_deadnormal
2,10,RecPot,Als ik in de spiegel kijk vind ik mezelf speciaal ,am_special
2,10,RecPot,Als ik in de spiegel kijk vind ik mezelf heel speciaal ,am_veryspecial
3,9,RecPot,Op het werk rapporteer niemand aan mij,reportome_none
3,9,RecPot,5 tot 20 mensen  rapporteren aan mij op het werk ,reportome_20
3,9,RecPot,20 tot 50 mensen rapporteren aan mij op het werk,reportome_50
3,9,RecPot,Meer dan 100 mensen rapporteren aan mij op het werk,reportome_100
3,9,RecPot,Meer dan 1000 mensen rapporteren aan mij op het werk,reportome_1000
3,9,RecPot,Ik ben een ondernemer en voel me daar goed bij.,entrepreneur
3,9,RecPot,Ik heb een baas boven mij maar erg is dat niet,have _boss
3,9,RecPot,Ik heb voor de overheid en heb dus - hopelijk- een goed pensioen,public_servant
3,9,RecPot,ik studeer dus de zorgen zijn voor later,student
3,9,RecPot,Ik ben gepensioneerd en heb weinig zorgen,retired
2,9,RecPot,Ik ben vooral een TV-kijker,lovetv
2,9,RecPot,Ik ben vooral een radioluisteraar,loveradio
2,9,RecPot,Ik ben vooral een krantenlezer,lovenewspaper
2,9,RecPot,ik  haal mijn nieuws vooral online,love_onlinenews
2,9,RecPot,Ik lees vooral tijdschriften,love_magazines
2,9,RecPot,Als consument vertrouw ik vooral TV,trust_tv
2,9,RecPot,Als consument vertrouw ik vooral de radio,trust_radio
2,9,RecPot,Als consument vertrouw ik vooral mijn krant,trust_newspapers
2,9,RecPot,Als consument vertrouw ik vooral reviews op het web,trust_web
2,9,RecPot,Als consument vertrouw ik vooral tijdschriften,trust_magazines
2,9,RecPot,Als consument  vertrouw ik vooral Test-Aankoop,trust_testaankoop
1,10,RecPot,Wat ik lees en hoor in advertenties overtuigt me het meest om iets te kopen,convincedby_ads
1,10,RecPot,De reviews die ik over iets lees overtuigen me het meest om iets te kopen,convincedby_reviews
1,10,RecPot,Wat mijn vrienden ervan denken overtuigt me het meest om iets te kopen,convincedby_friends
1,10,RecPot,Ik praat zeer veel over merken in mijn omgeving,brands_talkalot
1,10,RecPot,Ik deel graag al mijn ervaringen met merken,brands_shareexperience
1,10,RecPot,Als iemand me wat vraagt geef ik graag mijn mening over merken,brands_whenaskedfor
1,10,RecPot,Alleen als het extreem goed of slecht was zeg ik wel iets over merken,brands_extreme
1,10,RecPot,In bed hebben we het soms over merken,brands_bed
1,10,RecPot,onder vrienden hebben we het vaak over merken,brands_among friends
1,10,RecPot,Tijdens koffiepauzes gaat het vaak over merken,brands_coffebreak
1,10,RecPot,Online  over merken kletsen vind ik nuttig tijdsgebruik.,brands_onlinechat
1,10,RecPot,Met de buren hebben we het vaak over merken.,brands_neigbours
4,3,RecPot,Na het sporten worden er vaak ervaringen uitgewisseld over merken,brands_aftersports
2,7,RecPot,Koning. Dat zou ik het liefst van al zijn.,wanttobe_king
2,7,RecPot,Keizer.Dat zou ik het liefst van al zijn.,wanttobe_emperor
2,7,RecPot,President.Dat zou ik het liefst van al zijn.,wanttobe_president
2,7,RecPot,Eerste Minister. Dat zou ik het liefst van al zijn.,wanttobe_primeminister
2,7,RecPot,Oppositieleider.Dat zou ik het liefst van al zijn.,wanttobe_opposition
9,3,RecPot,Ik vind bruine  groenten de lekkerste van allemaal,love_vegetables_brown
9,3,RecPot,Ik studeer rnog steeds. Ik weet van geen ophouden,still_studying
9,3,RecPot,Studeren én kleine klusjes doen vind ik de max,studying_smalljobs
9,3,RecPot,Elke ochtend trek ik me terug in het kleinste kamertke,toilet_everymorning
9,3,RecPot,Na de eerste sigaret trek ik me terug in het kleinste kamertke,toilet_aftercigarette
9,3,RecPot,Als het nodig is trek ik me terug in het kleinste kamertke,toilet_whenneeded
9,3,RecPot,Voor het slapen gaan trek ik me terug in het kleinste kamertke,toilet_beforesleeping
9,3,RecPot,Als ik alleen wil zijn trek ik me terug in het kleinste kamertke,toilet_allalone
9,10,RecPot,Ik vind mezelf  entoesiast en extravert,enthusiasm_extravert
9,10,RecPot,Ik vind mezelf kritisch en zoek de confrontatie,critical_confrontational
9,10,RecPot,Ik denk dat ik betrouwbaar ben,trustworthy
9,10,RecPot,Ik ben nogal angstig en op mijn hoede.,caution_vigilant
9,10,RecPot,Ik sta open voor nieuwe ervaringen en uitdagingen,new_experience_challenges
9,10,RecPot,Ik ben nogal teruggetrokken.,shy_intoverted
9,10,RecPot,Ik denk dat men me sympatiek en warm vindt ,Sympathetic_warm
9,10,RecPot,Ik ben nogal chaotisch en slecht georganiseerd,Chaotic
9,10,RecPot,Ik ben rustig en stabiel,Quiet_stable
9,10,RecPot,"Ik ben nogal behoudsgezind, klassiek",conservative_classical
1,10,RecPot,Ik wil altijd meer,always_more
1,10,RecPot,Ik ben eigenlijk wel hebberig,greedy
1,10,RecPot,Geld heb je nooit genoeg,profit_driven
1,10,RecPot,"Zodra ik iets heb, denk ik alweer aan het volgende dat ik wil hebben",never_enough
1,10,RecPot,"Het maakt niet uit hoeveel ik heb, ik ben nooit echt tevreden",never_enough
1,10,RecPot,Mijn levensmotto is 'meer is beter',more_better
1,10,RecPot,Ik denk dat ik nooit genoeg spullen kan hebben.,never_enough
